id, opinion
0,  まずは「戦争をしたい人がいる」という大きな勘違いを正す必要がある。\n戦争は目的ではなく手段として行われるものであって、戦争を行う目的をまるで理解せずに「戦争をなくす」などといくら考えても無駄。\n戦争をしたくてするのではない。資源が欲しいから戦争をする。資源は平等でも無限でもないのだから、人類から戦争をなくすことは本質的に不可能。\n戦争をさせないことしかできない。\n
1,  軍隊保有、核武装または米軍の核持ち込み許可。平行して、経済交流の拡大、経済力を手駒に、敵対国との外交チャンネル維持・強化。
2,  国防に充分な軍備、日米安全保障条約の維持、米国の了承を得ての核武装も検討すべき
3,  常に戦の準備をしておけ。\n
4,  戦時における軍部の失策をしっかりと伝え二度と失策が起きないように啓蒙する。戦死者の多くは餓死であり、軍部の現地調達主義と精神論が生んだ悲劇であるということをキチンと伝えていく必要がある。それでもなお戦争に向かっていくのなら、先の大戦よりは悲惨な目に合わないだろう。しかし、そういったことを否定しているうちは戦争なんて絶対にやったらいけない。
5,  周辺諸国との軍事力のバランスを保つことで攻められることは減ると思うのでGDP比から見て過剰にならない範囲で国防を整えることによって攻められる確率は減ると考えられる\nそして戦争を仕掛ける原因は内政と外交の失敗からなので外交力にも力を入れる例えば領土問題は戦争のきっかけと成りうるので素早く解決するとか味方を多くするように立ち回るなどしっかりと戦略を持って外交を行う内政ではまず投票率が半分切ってるとかいう情けない状況を変える。そしてマスコミにすぐ騙されないようにつまりプロパガンダにすぐ引っ掛からないようにしっかりと情報リテラシーが身に付くように教育から変えていくそして貧しい人が多い状況だとヒトラーのような扇動家に引っ掛かりやすいので物事を深く考える余裕のある人たちを増やす必要がある\nこういうように国の仕組みからしっかり変えていかないうちに戦争反対を唱えてもお花畑で終わってしまうので思想だけでなく人々の根底から変えていかないといけないと思います。
6,  先ず前提として、戦争の構造を国民一人一人がしっかりと理解する必要があります。\n\n領土拡大の侵略戦争から戦争物資大量消費による景気浮揚戦争の側面が強くなってきています。\n\n戦争を作り出し利益を得ている人間が社会からいなくなれば新たな戦争は起きません。\n\n日露戦争以降、戦争や、今の戦争や内戦なども、国家間同士、民族同士を対立させる構造を作っている演出家(既得権益者)がいて戦争を発生させていることを知らなければなりません。\n\nその前提でアメリカ、ロシアの二代大国による利権の争いに巻き込まれて戦争は起きています。\n\nその大国もまた、一部の人間や組織に支配されています。\n\n大国の財閥やイルミナティ、FRBの解体が急務ですが、組織が巨大で、力も強いので、一政府や、大統領の程度の権限では解体は出来ません。\n\n本来なら、極東アジアの日本、中国、韓国などが、それらの力に対峙しなければならないのですが、時すでに遅し、二代大国により、この三国はいがみ合うように、構造を作り変えられました。\n\nつまり、それらの構造を理解した上で対策を講じてる法案を作らなければ、戦争を無くすることは絵空事になると思います。
7,  全人類を何かによって統率してもらう
8,  欲を捨てる
9,  核兵器を包有し、アメリカ第七艦隊以上の軍事能力を保有する。ロボット（無人兵器）を量産して、制空権と制海権を確保する。
10,  現在の平和憲法を守り改憲はしない。しかし法律の元で自衛隊の活動に流動性を持たせ、攻撃されないためにも、国民に理解されうる一定の戦力アップは認める。
11,  第二次世界大戦時に日本が何をしたかを明らかにし、きちんと反省し、二度と繰り返さないためにどうするかを考える、そういう行政や教育にしていく。
12,  自衛隊を国際レスキュー隊としての活動にシフトさせていき、徐々に武力放棄。\n民間でも他国と積極的に連携を取り、徹底的に平和国家を貫く。\n「軍隊が無い日本だけどもし攻めたら世界中からバッシングされる」という心理を防衛力にする。
13,  世界でただひとつの被爆国日本だからこそ、「核保有」の権利を行使すべきです。きれいごとやお人好しのいい人ぶった生き方は好きですが、国を守り、国民を危機に陥らせないためには、「日本に手出しはすべきでない」という、権威といざというときの武力は持つべきです。「持っていても使わない」は、「持たずに使えない」とはまったく「重み｣がちがいます。現実的には「核武装」ありだと思います。\n
14,  政府が国防体制をしっかりと整えることで、戦争を牽制（けんせい）する。
15,  食料、水、再生エネルギーの自給に力を入れる。\n\nすべての戦争は「食えないこと」から始まるので。
16,  世界から日本以外の国家を無くす
17,  総理大臣が、スイスのように、永世中立国の宣言をする。
18,  鎖国！
19,  過去の行いを無かったことにしないで、明らかにし、みんなで反省すること。
20,  今のままでいい。\n自国を主張しすぎず、あっちを立てたり、こっちを立てたり。情けなく見えるかもしれないけれど、それが１番戦争に巻き込まれずに、うまく逃げていられる。\nこのまま、現状維持出来れば万々歳！
21,  他人(他国)を尊敬する
22,  十分な軍備と十分な農業(食料自給率の向上)。\nただし、軍備を十分にするからと言って、他国との緊張を高めては結局国民を守ったことにならない。\n協調外交は死守しつつ、水面下ではかっちりと軍備する、という両刀使いが重要。\n\nまた、他国の戦争に巻き込まれないように工夫すべき。他国の戦争に軍を派遣する仕組みは不要。せっかく棚ぼたでアメリカから便利な(他国の戦争に知らんぷりして自国民の命の犠牲を避けても後ろ指さされないような)憲法をもらったのだから、その利点は生かすべき。
23,  護憲派の立場として、言論活動で戦争の芽を摘み、実質的に憲法九条を守りたいのであるから、現在の左翼活動のような自国政府への非難だけを行うのではなく、隣国が実施している反日教育を中止させるように自ら働きかける。他国の非難を国是にするなんて姑息ではないかと粘り強く説得すべきである。\n\n逆に改憲派は、今のままでは国民投票で5割をとる事の難易度を理解し、過去の戦争体験の分析と反省を日本国民に対して謙虚に実施し、自国軍隊の膨張の再現がなされないための歯止めを自ら国民に提示すべきである。例えば、今後自然発生した島などを除き現在の自国領土を国外に拡大するなどという事が起こり得ないような歯止め条項の明文化を行い、それであるならば現在の九条の極端な内容を解いても大丈夫だと自国民に感じさせる事。これが改憲派の義務である。
24,  ひとりひとりが、世界の宝でもある、\n日本国憲法第９条を知り、理解し、広め、\n戦争にNOを言い続けられる唯一の国の民として、\n揺るぎない信念をもって、未来永劫、在り続ける。
25,  何故戦争が起きたのか、誰が仕掛けたのか、それをきちんと教育する。\n金や利権が絡まない戦争など無いことに気付くべき。
26,  ぱよちんには死んでもらう\n
27,  文化交流と経済交流を深めて、武力による破壊行動がデメリットになる関係を作る。\n付和雷同して流されるのではなく、国民一人一人がきちんと考えること。
28,  罪を憎んで人を憎まずという言葉があるように戦争という行為が虐殺、原爆などを生み出したのだから、戦争というもの世界中の人達があたかも他人事のように過ごさず重く受け止めること。
29,  拡大主義を続ける近隣諸国と話し合いのテーブルにつける程度の軍備は最低限必要である。\n\nただし、国のサイズや人口比からロシアや中国に日本一国で対抗することは非現実的であるため、アメリカや考えの合うアジア諸国とも共同し結び付きを強めることで戦争の抑止を目指す。
30,  「日本を敵に回すと甚大な被害を被る」と言われるような経済、防衛、外交を推し進める。\n今の国内情勢では他国の領土に武力で攻め入るなんて右も左も100%反対しそうだし、ゆくゆくはアメリカも含め日本の地に他国の軍隊を一歩も入れさせないようにするのが大事。
