id, opinion
0, 日本の金融政策やな
1, 外交方針に対して、国民が、選挙やデモなどの目に見える形で行動をとり、政治への反応を示す。
2, 先の戦争では、相手国に対する情報を遮断しようとした時点で負けた。戦争を回避するにせよ、戦争になってしまったら早期終結を目指すにせよ、相手国についてよく知ることが必要。戦争になるなら、近隣諸国に決まっているのだから、もっと近隣諸国を知るべき。一般市民レベルでも、言語は必須。
3, 発電所爆発
4, 攻撃をうけている事実を録画・公開し、国際世論に訴える。\n安保理に問題をエスカレートさせる
5, もんじゅに水を注入して、ナトリウム大爆発とともにプルトニウムを全世界に飛散させる。
6, ぱよぱよちーん
7, 憲法を改正し、自衛隊を国防軍に昇格させる。\n国防軍を強化させる。\n道徳教育を再開し、民力を上げる。\nブラフでもいが、わが国と戦争をするとやばいことに成る。と思わせられるくらいの力は最低限必要。いくら平和を唱えても、侵略の機会をうかがっている奴らは無くならない。土地の売買も、教育も、日本人以上の外国人優遇政策も1度見直した方がいい。（つけあがられている。）\u3000\n
8, もっと大きなスケールで物事を考える。１００億年を遥かに超える時空間におもいをよせる。
9, 安保体制を元に米軍と共闘
10, 侵略が避けられない状況となったら、妻子はアメリカなどへ逃がすが、自らはゲリラとなって戦おう。
11, 良心的兵役拒否や亡命の自由を認めること。海外で教育を受け、外資系で働く日本人としては、戦争がある日本にしがみつく意味がないので、シンガポールや欧米への亡命（日本国籍の放棄を含む）を検討します。
12, その戦争を中立的な立場で支配することができるものを存在させる
13, 非暴力を貫く！
14, 全ての人間が日本、敵国双方に\n「今日本で何が起きているか」\n「何故戦争が起きる事態になったか」\n「日本を敵視しても日本人全員を敵視しないで欲しい事」\nと最後まで伝え続け、空襲で国土の殆どが焦土になったり他国の日系人が差別されたりしないよう、被害を最小限に抑えられるよう努力する。
15, 国民全てが死ぬまで戦う。
16, 米国に協力を仰ぐ
17, 不穏な動きをする国家は国連が殲滅解体する
18, ハザードトリガーを使ってラビットタンクハザードフォームに変身する
19, 日本が最も世界に誇れる技術力を使い、日本国を守れるロボットを作る
20, 攻撃してくる国に対して、公の席上で「日本を攻撃したら悪意がなくても六ヶ所村の再処理工場のすべての廃棄物が世界に拡散する、あなたの国を含め、地球は人が生きられなくなる」と教える。\n
21, トルストイは、屠殺場がなくならない限り、戦争はなくならない、と説いています。\n差別意識、弱いものイジメ、私欲の塊という点が共通だから。\n食肉は、環境も健康も壊します。\nhttps://www.facebook.com/100001331374768/posts/1420324308021935/
22, 武力で制圧できればそれでいい。そこのは人は居なかったのだ。
23, 戦争になっても我が国は屈しないということをあらゆるレベル、チャンネルで発信し、並行してその裏付けとなる軍隊を展開する。
24, なるべく広く多民族の移民を受け入れ、従来のいわゆる純粋の日本人が国民の１０％以下になることを目標に混血を推し進める。アジア諸国に同様の政策を勧め、最終的に国民国家を解体、アジア圏共同体を形成し、領土’および民族問題を意味がないものにしまう。
25, 自身が殺されるしか選択肢がない場合は、自身がゲリラとして戦闘する。\n
26, 70年間ずっと占領されてますけど
27, 戦争を回避するための交渉は最後まで行い、国際社会に戦争の暴力性をアピールするべき。
28, 日本から仕掛ける戦争は有り得ない。攻撃されたなら自衛のために武力行使もやむを得ないが、その前に徹底的に和平交渉を有能な政治家がする。\nそのためには政治家、政府が有能かどうか見極める力が国民には必要。
29, 第三国との集団安全保障体制の整備。及び敵の着上陸を阻止し、制空権と制海権を維持し続けられる正面戦力と兵站の整備。
30, ひたすら軍拡をする。\n戦争は外交の1カードであり最終手段であると考えるその戦争というカードが切られようとしているのだからもはや外交は意味をなさない。ならば軍事力でもって外交をするしかないすなわち戦争だ降りかかる火の粉は振り払わなければならない。
31, 不戦を貫く。
32, 誇りを持って闘う。論戦、実戦両面からの全面戦争で。
33, 核ミサイルの製造\n官僚達は頑張って核弾頭とIミサイルが実戦配備出来るまで和平交渉を進めてもらいたい。
34, 戦争など意味ないことを一貫して説得する。
35, 政治家が和平交渉を続ける。戦争はしない。
36, したくないことはしない\u3000戦争は国家が国民に殺人をさせる事\u3000現代のまともな人が人を殺せば\u3000狂う\u3000狂わない人は元から狂っている\u3000だから、したくないことはしない\u3000戦争になる過程では必ず反対する者は逮捕等\u3000口を塞がれますが\u3000全員の口は塞げない。\u3000\n
37, 勝てる連合につく
38, 日本国を解体する。\n
39, 憲法9条改正、武力を保持。\nそうすれば日本に戦争を仕掛けてくる国はない。
